fecha	param	LR1	LR2	LR3	LT
2021-01-01	B01	0.0381	0.049	0.028	0.0535
2021-01-01	B02	0.0369	0.029	0.0198	0.0774
2021-01-01	B03	0.0503	0.0431	0.0301	0.0963
2021-01-01	B04	0.0429	0.0337	0.0217	0.1128
2021-01-01	B05	0.05	0.0436	0.0326	0.1087
2021-01-01	B06	0.0445	0.0514	0.0259	0.0775
2021-01-01	B07	0.0487	0.0454	0.0332	0.0773
2021-01-01	B08	0.0421	0.0357	0.0225	0.0767
2021-01-01	B8A	0.0443	0.058	0.0252	0.0665
2021-01-01	B11	0.0507	0.0626	0.0443	0.0588
2021-01-01	B12	0.0435	0.0449	0.0314	0.0497
2021-01-06	B01	0.1285	0.1506	0.1421	0.046
2021-01-06	B02	0.1312	0.1466	0.1366	0.0434
2021-01-06	B03	0.135	0.1558	0.1534	0.0638
2021-01-06	B04	0.1292	0.1322	0.1328	0.0774
2021-01-06	B05	0.1572	0.1665	0.1658	0.0776
2021-01-06	B06	0.1875	0.1906	0.1986	0.0384
2021-01-06	B07	0.1831	0.198	0.2032	0.041
2021-01-06	B08	0.2	0.2266	0.214	0.0342
2021-01-06	B8A	0.1841	0.2177	0.2028	0.0306
2021-01-06	B11	0.1723	0.1762	0.1773	0.0321
2021-01-06	B12	0.1248	0.1444	0.1396	0.022
2021-01-11	B01	0.0617	0.0732	0.0673	0.0706
2021-01-11	B02	0.0666	0.0623	0.0559	0.1054
2021-01-11	B03	0.0747	0.0761	0.068	0.151
2021-01-11	B04	0.0637	0.0659	0.0637	0.2024
2021-01-11	B05	0.0771	0.0838	0.0849	0.2171
2021-01-11	B06	0.0818	0.0903	0.0907	0.1546
2021-01-11	B07	0.0889	0.1062	0.0976	0.1711
2021-01-11	B08	0.0947	0.1008	0.0874	0.1402
2021-01-11	B8A	0.095	0.1105	0.1013	0.1279
2021-01-11	B11	0.0917	0.1084	0.1034	0.0562
2021-01-11	B12	0.0733	0.0793	0.0764	0.0516
2021-01-16	B01	0.7732	0.7744	0.8114	0.459
2021-01-16	B02	0.7328	0.7328	0.7388	0.418
2021-01-16	B03	0.6984	0.6968	0.6992	0.3982
2021-01-16	B04	0.6688	0.6528	0.664	0.3752
2021-01-16	B05	0.6892	0.6777	0.6868	0.4277
2021-01-16	B06	0.6911	0.6814	0.6905	0.4448
2021-01-16	B07	0.6995	0.6921	0.7023	0.4522
2021-01-16	B08	0.6524	0.6616	0.6568	0.4444
2021-01-16	B8A	0.6931	0.6922	0.7068	0.4413
2021-01-16	B11	0.4088	0.4034	0.4056	0.1854
2021-01-16	B12	0.367	0.3662	0.3671	0.1801
2021-01-21	B01	0.0716	0.0755	0.0662	0.0968
2021-01-21	B02	0.0701	0.0693	0.0619	0.1228
2021-01-21	B03	0.0767	0.0783	0.0684	0.1656
2021-01-21	B04	0.0542	0.0587	0.0484	0.216
2021-01-21	B05	0.0693	0.0754	0.0687	0.2345
2021-01-21	B06	0.0667	0.0766	0.0644	0.2055
2021-01-21	B07	0.0686	0.078	0.0666	0.2196
2021-01-21	B08	0.0617	0.0653	0.0545	0.1924
2021-01-21	B8A	0.0549	0.0854	0.0535	0.1821
2021-01-21	B11	0.0347	0.0558	0.0406	0.0329
2021-01-21	B12	0.0288	0.0354	0.028	0.0254
2021-01-26	B01	0.8719	0.8667	0.8691	0.8834
2021-01-26	B02	0.8464	0.8464	0.8568	0.8712
2021-01-26	B03	0.8792	0.884	0.8872	0.8904
2021-01-26	B04	0.888	0.8936	0.8976	0.8976
2021-01-26	B05	0.8558	0.857	0.8606	0.8656
2021-01-26	B06	0.865	0.8668	0.863	0.8743
2021-01-26	B07	0.8753	0.8722	0.8693	0.8887
2021-01-26	B08	0.8904	0.8968	0.8992	0.9192
2021-01-26	B8A	0.8672	0.8662	0.8593	0.8842
2021-01-26	B11	0.169	0.1724	0.167	0.2168
2021-01-26	B12	0.184	0.1832	0.1716	0.2404
2021-01-31	B01	0.4906	0.5015	0.497	0.5324
2021-01-31	B02	0.502	0.5024	0.504	0.5248
2021-01-31	B03	0.4816	0.4816	0.4876	0.5072
2021-01-31	B04	0.4564	0.4592	0.4652	0.4852
2021-01-31	B05	0.4825	0.4901	0.503	0.5253
2021-01-31	B06	0.5167	0.5238	0.5357	0.5445
2021-01-31	B07	0.5361	0.5476	0.561	0.5701
2021-01-31	B08	0.5068	0.5136	0.5236	0.5312
2021-01-31	B8A	0.5366	0.5471	0.5624	0.5642
2021-01-31	B11	0.4687	0.4903	0.5041	0.4716
2021-01-31	B12	0.4171	0.436	0.4405	0.399
2021-02-05	B01	0.0089	0.0156	0.0148	0.0634
2021-02-05	B02	1e-4	0.0012	1e-4	0.0854
2021-02-05	B03	0.0083	0.0064	0.0081	0.1418
2021-02-05	B04	0.0049	0.0057	0.0066	0.2076
2021-02-05	B05	0.0058	0.0077	0.0098	0.2212
2021-02-05	B06	1e-4	0.0073	1e-4	0.17
2021-02-05	B07	1e-4	0.006	0.0013	0.1783
2021-02-05	B08	0.002	0.003	0.0067	0.16
2021-02-05	B8A	NA	0.0023	0.0078	0.1426
2021-02-05	B11	0.0179	0.0221	0.0197	0.0162
2021-02-05	B12	0.0133	0.015	0.0168	0.0133
2021-02-10	B01	0.7704	0.7927	0.7825	0.6737
2021-02-10	B02	0.6924	0.754	0.7752	0.6456
